X,CH1,CH2,
Second,Volt,Volt,
-7.4340001e-02,-2.48000e+00,8.00000e-03,
-7.4319996e-02,-2.48000e+00,0.00000e+00,
-7.4299999e-02,-2.44000e+00,-8.00000e-03,
-7.4280001e-02,-2.40000e+00,-1.60000e-02,
-7.4259996e-02,-2.36000e+00,-1.60000e-02,
-7.4239999e-02,-2.36000e+00,-1.60000e-02,
-7.4220002e-02,-2.36000e+00,-1.60000e-02,
-7.4199997e-02,-2.36000e+00,0.00000e+00,
-7.4180000e-02,-2.28000e+00,0.00000e+00,
-7.4159995e-02,-2.20000e+00,0.00000e+00,
-7.4139997e-02,-2.20000e+00,8.00000e-03,
-7.4120000e-02,-2.20000e+00,8.00000e-03,
-7.4099995e-02,-2.16000e+00,0.00000e+00,
-7.4079998e-02,-2.12000e+00,0.00000e+00,
-7.4060000e-02,-2.12000e+00,0.00000e+00,
-7.4039996e-02,-2.08000e+00,-8.00000e-03,
-7.4019998e-02,-2.04000e+00,-1.60000e-02,
-7.4000001e-02,-2.04000e+00,-2.40000e-02,
-7.3979996e-02,-2.00000e+00,-4.00000e-02,
-7.3959999e-02,-2.00000e+00,-3.20000e-02,
-7.3940001e-02,-1.96000e+00,-2.40000e-02,
-7.3919997e-02,-1.92000e+00,-1.60000e-02,
-7.3899999e-02,-1.88000e+00,-1.60000e-02,
-7.3879994e-02,-1.88000e+00,-1.60000e-02,
-7.3859997e-02,-1.84000e+00,-3.20000e-02,
-7.3840000e-02,-1.80000e+00,-6.40000e-02,
-7.3819995e-02,-1.80000e+00,-1.28000e-01,
-7.3799998e-02,-1.76000e+00,-3.12000e-01,
-7.3780000e-02,-1.76000e+00,-3.84000e-01,
-7.3759995e-02,-1.72000e+00,-2.88000e-01,
-7.3739998e-02,-1.68000e+00,-6.40000e-02,
-7.3720001e-02,-1.64000e+00,-1.12000e-01,
-7.3699996e-02,-1.64000e+00,-1.20000e-01,
-7.3679999e-02,-1.64000e+00,-8.00000e-02,
-7.3660001e-02,-1.56000e+00,-1.12000e-01,
-7.3639996e-02,-1.56000e+00,-1.28000e-01,
-7.3619999e-02,-1.52000e+00,-1.04000e-01,
-7.3600002e-02,-1.52000e+00,-6.40000e-02,
-7.3579997e-02,-1.48000e+00,-2.40000e-02,
-7.3559999e-02,-1.40000e+00,-8.00000e-03,
-7.3539995e-02,-1.40000e+00,0.00000e+00,
-7.3519997e-02,-1.36000e+00,0.00000e+00,
-7.3500000e-02,-1.36000e+00,1.60000e-02,
-7.3479995e-02,-1.36000e+00,1.60000e-02,
-7.3459998e-02,-1.32000e+00,1.60000e-02,
-7.3440000e-02,-1.24000e+00,1.60000e-02,
-7.3419996e-02,-1.24000e+00,1.60000e-02,
-7.3399998e-02,-1.24000e+00,1.60000e-02,
-7.3380001e-02,-1.24000e+00,1.60000e-02,
-7.3359996e-02,-1.20000e+00,1.60000e-02,
-7.3339999e-02,-1.16000e+00,1.60000e-02,
-7.3320001e-02,-1.12000e+00,2.40000e-02,
-7.3299997e-02,-1.08000e+00,1.60000e-02,
-7.3279999e-02,-1.08000e+00,1.60000e-02,
-7.3260002e-02,-1.04000e+00,1.60000e-02,
-7.3239997e-02,-1.00000e+00,2.40000e-02,
-7.3220000e-02,-1.00000e+00,2.40000e-02,
-7.3199995e-02,-9.60000e-01,2.40000e-02,
